_id,ltable_id,rtable_id
0,534,219
1,535,62
2,535,220
3,535,237
4,536,221
5,537,222
6,538,223
7,539,224
8,540,225
9,540,231
10,540,235
11,542,227
12,546,225
13,546,231
14,546,235
15,548,233
16,550,225
17,550,231
18,550,235
19,553,6
20,553,238
21,555,56
22,555,240
23,557,242
24,558,243
25,559,244
26,560,245
27,561,246
28,564,249
29,565,250
30,566,108
31,566,251
32,566,252
33,566,265
34,567,251
35,567,252
36,567,265
37,568,90
38,568,253
39,569,254
40,571,256
41,571,285
42,572,257
43,573,94
44,573,258
45,573,259
46,575,260
47,575,261
48,577,262
49,577,279
50,578,263
51,579,261
52,579,264
53,579,271
54,580,251
55,580,252
56,580,265
57,582,267
58,584,269
59,585,270
60,586,261
61,586,264
62,586,271
63,587,272
64,589,274
65,591,276
66,593,278
67,594,85
68,596,120
69,599,70
70,599,284
71,600,256
72,600,285
73,601,134
74,601,286
75,602,126
76,602,141
77,602,287
78,603,288
79,604,289
80,605,128
81,605,138
82,605,290
83,606,291
84,607,292
85,609,294
86,612,297
87,613,298
88,613,302
89,614,299
90,616,151
91,616,178
92,616,301
93,618,303
94,619,304
95,620,157
96,620,165
97,620,170
98,620,305
99,621,306
100,622,142
101,622,151
102,622,154
103,622,307
104,623,149
105,623,173
106,623,175
107,623,296
108,623,300
109,623,311
110,624,149
111,624,173
112,624,175
113,624,296
114,624,300
115,624,311
116,625,143
117,625,310
118,625,331
119,626,149
120,626,173
121,626,175
122,626,296
123,626,300
124,626,311
125,627,147
126,627,312
127,628,187
128,628,313
129,629,196
130,629,314
131,630,194
132,630,202
133,630,315
134,631,316
135,632,317
136,632,329
137,634,319
138,635,320
139,636,321
140,637,322
141,638,203
142,638,212
143,638,218
144,638,323
145,639,198
146,639,324
147,640,199
148,640,325
149,641,326
150,641,328
151,642,215
152,642,327
153,643,326
154,643,328
155,644,317
156,644,329
157,645,189
158,645,190
159,645,330
160,647,278
161,655,223
162,669,225
163,669,231
164,669,235
165,672,224
166,685,225
167,685,231
168,685,235
169,693,222
170,702,225
171,702,231
172,702,235
173,704,225
174,704,231
175,704,235
176,724,242
177,731,251
178,731,252
179,731,265
180,739,244
181,739,262
182,754,257
183,755,259
184,756,260
185,781,70
186,790,78
187,790,242
188,806,243
189,807,261
190,807,264
191,807,271
192,808,256
193,808,285
194,811,242
195,811,285
196,826,90
197,826,253
198,826,265
199,829,272
200,843,269
201,852,256
202,852,285
203,860,120
204,866,270
205,872,260
206,876,269
207,880,90
208,882,85
209,883,264
210,890,94
211,890,258
212,890,259
213,900,110
214,900,244
215,905,242
216,907,269
217,913,157
218,913,165
219,913,170
220,913,305
221,915,150
222,915,155
223,915,168
224,920,143
225,920,310
226,920,331
227,922,303
228,927,149
229,927,173
230,927,175
231,927,296
232,927,300
233,927,311
234,939,149
235,939,173
236,939,175
237,939,296
238,939,300
239,939,311
240,940,303
241,944,149
242,944,173
243,944,175
244,944,296
245,944,300
246,944,311
247,947,303
248,949,162
249,956,149
250,956,173
251,956,175
252,956,296
253,956,300
254,956,311
255,958,140
256,961,289
257,962,138
258,962,139
259,963,133
260,966,292
261,967,289
262,969,125
263,969,127
264,971,291
265,972,289
266,973,130
267,974,128
268,974,138
269,974,139
270,974,290
271,975,130
272,976,128
273,976,138
274,976,139
275,976,290
276,977,292
277,980,133
278,983,289
279,984,130
280,985,125
281,985,127
282,986,135
283,986,288
284,987,188
285,990,192
286,993,320
287,995,215
288,995,327
289,997,203
290,997,212
291,997,218
292,997,323
293,999,188
294,1003,319
295,1007,205
296,1014,322
297,1015,187
298,1015,313
299,1020,322
300,1024,189
301,1024,190
302,1024,330
303,1025,199
304,1025,325
305,1026,187
306,1026,313
307,1028,194
308,1028,202
309,1028,315
310,1032,317
311,1032,329
312,1034,188
313,1034,315
314,1035,215
315,1035,327
316,1036,326
317,1036,328
318,1040,192
319,1044,326
320,1044,328
321,1051,322
322,1053,196
323,1053,314
324,1056,322
325,1057,329
326,1058,215
327,1058,327
328,1064,326
329,1064,328
330,1066,188
