
_id,ltable_id,rtable_id
0,534,219
1,535,220
2,537,12
3,537,13
4,537,150
5,537,188
6,537,222
7,537,245
8,537,316
9,538,223
10,539,224
11,540,225
12,542,227
13,543,119
14,543,282
15,545,230
16,546,260
17,547,232
18,548,233
19,550,235
20,551,236
21,552,73
22,552,237
23,553,238
24,555,240
25,557,242
26,558,243
27,559,244
28,560,12
29,560,13
30,560,150
31,560,188
32,560,222
33,560,245
34,560,316
35,561,246
36,562,247
37,563,8
38,563,220
39,563,248
40,564,249
41,565,250
42,566,251
43,567,252
44,569,254
45,570,255
46,571,256
47,572,257
48,573,35
49,573,89
50,573,90
51,573,200
52,573,201
53,573,202
54,573,258
55,573,304
56,573,323
57,574,259
58,575,260
59,576,261
60,578,263
61,579,264
62,580,265
63,581,51
64,581,67
65,581,91
66,581,120
67,581,266
68,582,267
69,583,268
70,583,288
71,584,269
72,586,271
73,587,272
74,588,273
75,589,177
76,589,274
77,590,23
78,590,33
79,590,43
80,590,78
81,590,149
82,590,215
83,590,275
84,590,327
85,591,276
86,592,277
87,593,278
88,594,279
89,595,280
90,596,281
91,597,119
92,597,282
93,598,283
94,599,284
95,601,286
96,602,23
97,602,33
98,602,43
99,602,78
100,602,149
101,602,215
102,602,275
103,602,327
104,603,260
105,604,289
106,605,290
107,608,293
108,609,294
109,611,296
110,612,83
111,612,297
112,614,299
113,615,300
114,616,301
115,617,105
116,617,302
117,618,303
118,619,35
119,619,89
120,619,90
121,619,200
122,619,201
123,619,202
124,619,258
125,619,304
126,619,323
127,620,305
128,621,306
129,622,307
130,626,311
131,627,312
132,628,313
133,629,314
134,630,315
135,631,12
136,631,13
137,631,150
138,631,188
139,631,222
140,631,245
141,631,316
142,632,187
143,632,317
144,633,15
145,633,318
146,634,319
147,635,320
148,636,321
149,637,322
150,638,35
151,638,89
152,638,90
153,638,200
154,638,201
155,638,202
156,638,258
157,638,304
158,638,323
159,640,325
160,642,23
161,642,33
162,642,43
163,642,78
164,642,149
165,642,215
166,642,275
167,642,327
168,643,328
169,645,330
170,647,82
171,652,7
172,652,146
173,653,51
174,653,67
175,653,91
176,653,120
177,653,266
178,654,8
179,654,220
180,654,248
181,657,12
182,657,13
183,657,150
184,657,188
185,657,222
186,657,245
187,657,316
188,661,191
189,663,23
190,663,33
191,663,43
192,663,78
193,663,149
194,663,215
195,663,275
196,663,327
197,664,274
198,668,274
199,675,254
200,681,260
201,682,260
202,688,49
203,692,237
204,699,224
205,716,51
206,716,67
207,716,91
208,716,120
209,716,266
210,717,187
211,717,317
212,735,12
213,735,13
214,735,150
215,735,188
216,735,222
217,735,245
218,735,316
219,736,12
220,736,13
221,736,150
222,736,188
223,736,222
224,736,245
225,736,316
226,738,12
227,738,13
228,738,150
229,738,188
230,738,222
231,738,245
232,738,316
233,739,12
234,739,13
235,739,150
236,739,188
237,739,222
238,739,245
239,739,316
240,740,12
241,740,13
242,740,150
243,740,188
244,740,222
245,740,245
246,740,316
247,741,12
248,741,13
249,741,150
250,741,188
251,741,222
252,741,245
253,741,316
254,742,189
255,743,189
256,744,189
257,745,189
258,746,189
259,747,189
260,753,15
261,753,318
262,755,51
263,755,67
264,755,91
265,755,120
266,755,266
267,759,23
268,759,33
269,759,43
270,759,78
271,759,149
272,759,215
273,759,275
274,759,327
275,760,23
276,760,33
277,760,43
278,760,78
279,760,149
280,760,215
281,760,275
282,760,327
283,766,48
284,771,23
285,771,33
286,771,43
287,771,78
288,771,149
289,771,215
290,771,275
291,771,327
292,781,319
293,784,255
294,787,100
295,802,82
296,803,51
297,803,67
298,803,91
299,803,120
300,803,266
301,805,23
302,805,33
303,805,43
304,805,78
305,805,149
306,805,215
307,805,275
308,805,327
309,808,105
310,808,302
311,811,51
312,811,67
313,811,91
314,811,120
315,811,266
316,816,35
317,816,89
318,816,90
319,816,200
320,816,201
321,816,202
322,816,258
323,816,304
324,816,323
325,817,116
326,817,136
327,817,148
328,817,177
329,817,295
330,817,298
331,817,310
332,820,260
333,821,260
334,822,260
335,823,260
336,824,260
337,825,260
338,826,260
339,827,260
340,828,261
341,829,255
342,835,23
343,835,33
344,835,43
345,835,78
346,835,149
347,835,215
348,835,275
349,835,327
350,843,100
351,846,23
352,846,33
353,846,43
354,846,78
355,846,149
356,846,215
357,846,275
358,846,327
359,865,23
360,865,33
361,865,43
362,865,78
363,865,149
364,865,215
365,865,275
366,865,327
367,875,104
368,875,108
369,876,276
370,878,113
371,878,145
372,878,181
373,879,51
374,879,67
375,879,91
376,879,120
377,879,266
378,885,183
379,886,8
380,886,220
381,886,248
382,888,23
383,888,33
384,888,43
385,888,78
386,888,149
387,888,215
388,888,275
389,888,327
390,892,114
391,898,51
392,898,67
393,898,91
394,898,120
395,898,266
396,901,113
397,901,145
398,901,181
399,905,23
400,905,33
401,905,43
402,905,78
403,905,149
404,905,215
405,905,275
406,905,327
407,908,67
408,908,242
409,921,12
410,921,13
411,921,150
412,921,188
413,921,222
414,921,245
415,921,316
416,924,51
417,924,67
418,924,91
419,924,120
420,924,266
421,926,116
422,926,136
423,926,148
424,926,177
425,926,295
426,926,298
427,926,310
428,932,51
429,932,67
430,932,91
431,932,120
432,932,266
433,938,161
434,954,23
435,954,33
436,954,43
437,954,78
438,954,149
439,954,215
440,954,275
441,954,327
442,962,9
443,962,22
444,965,83
445,965,297
446,966,12
447,966,13
448,966,150
449,966,188
450,966,222
451,966,245
452,966,316
453,967,12
454,967,13
455,967,150
456,967,188
457,967,222
458,967,245
459,967,316
460,972,289
461,977,289
462,979,83
463,979,297
464,982,83
465,982,297
466,991,7
467,991,146
468,995,12
469,995,13
470,995,150
471,995,188
472,995,222
473,995,245
474,995,316
475,996,12
476,996,13
477,996,150
478,996,188
479,996,222
480,996,245
481,996,316
482,998,79
483,998,153
484,1001,242
485,1005,289
486,1012,290
487,1018,108
488,1025,260
489,1026,260
490,1045,73
491,1045,237
492,1046,48
493,1049,23
494,1049,33
495,1049,43
496,1049,78
497,1049,149
498,1049,215
499,1049,275
500,1049,327
501,1050,23
502,1050,33
503,1050,43
504,1050,78
505,1050,149
506,1050,215
507,1050,275
508,1050,327
509,1051,23
510,1051,33
511,1051,43
512,1051,78
513,1051,149
514,1051,215
515,1051,275
516,1051,327
517,1053,51
518,1053,67
519,1053,91
520,1053,120
521,1053,266
522,1066,209
523,1066,254
