_id,ltable_id,rtable_id
0,534,219
1,535,220
2,536,221
3,537,12
4,537,13
5,537,150
6,537,188
7,537,222
8,537,245
9,537,316
10,538,223
11,539,224
12,540,225
13,541,226
14,542,227
15,543,119
16,543,228
17,543,282
18,544,229
19,545,230
20,546,231
21,546,260
22,547,232
23,548,233
24,549,234
25,550,235
26,551,236
27,552,73
28,552,237
29,553,238
30,554,239
31,555,240
32,556,241
33,557,242
34,558,243
35,559,244
36,560,12
37,560,13
38,560,150
39,560,188
40,560,222
41,560,245
42,560,316
43,561,246
44,562,247
45,563,8
46,563,220
47,563,248
48,564,249
49,565,250
50,566,251
51,567,252
52,568,253
53,569,254
54,570,255
55,571,256
56,572,257
57,573,35
58,573,89
59,573,90
60,573,200
61,573,201
62,573,202
63,573,258
64,573,304
65,573,323
66,574,259
67,575,260
68,576,261
69,577,262
70,578,263
71,579,264
72,580,265
73,581,51
74,581,67
75,581,91
76,581,120
77,581,266
78,582,267
79,583,268
80,583,288
81,584,269
82,585,270
83,586,271
84,587,272
85,588,273
86,589,177
87,589,274
88,590,23
89,590,33
90,590,43
91,590,78
92,590,149
93,590,215
94,590,275
95,590,327
96,591,276
97,592,277
98,593,278
99,594,279
100,595,280
101,596,281
102,597,119
103,597,282
104,598,283
105,599,284
106,601,286
107,602,23
108,602,33
109,602,43
110,602,78
111,602,149
112,602,215
113,602,275
114,602,287
115,602,327
116,603,260
117,604,289
118,605,290
119,606,291
120,607,292
121,608,293
122,609,294
123,610,295
124,611,296
125,612,83
126,612,297
127,613,298
128,614,299
129,615,300
130,616,301
131,617,105
132,617,302
133,618,303
134,619,35
135,619,89
136,619,90
137,619,200
138,619,201
139,619,202
140,619,258
141,619,304
142,619,323
143,620,305
144,621,306
145,622,307
146,623,308
147,623,309
148,624,308
149,624,309
150,625,310
151,625,331
152,626,311
153,627,312
154,628,313
155,629,314
156,630,315
157,631,12
158,631,13
159,631,150
160,631,188
161,631,222
162,631,245
163,631,316
164,632,187
165,632,317
166,633,15
167,633,318
168,634,319
169,635,320
170,636,321
171,637,322
172,638,35
173,638,89
174,638,90
175,638,200
176,638,201
177,638,202
178,638,258
179,638,304
180,638,323
181,639,324
182,640,325
183,641,326
184,642,23
185,642,33
186,642,43
187,642,78
188,642,149
189,642,215
190,642,275
191,642,327
192,643,328
193,644,329
194,645,330
195,647,82
196,652,7
197,652,146
198,653,51
199,653,67
200,653,91
201,653,120
202,653,266
203,654,8
204,654,220
205,654,248
206,657,12
207,657,13
208,657,150
209,657,188
210,657,222
211,657,245
212,657,316
213,661,191
214,663,23
215,663,33
216,663,43
217,663,78
218,663,149
219,663,215
220,663,275
221,663,327
222,664,274
223,668,274
224,675,254
225,681,260
226,682,260
227,688,49
228,692,237
229,699,224
230,716,51
231,716,67
232,716,91
233,716,120
234,716,266
235,717,187
236,717,317
237,735,12
238,735,13
239,735,150
240,735,188
241,735,222
242,735,245
243,735,316
244,736,12
245,736,13
246,736,150
247,736,188
248,736,222
249,736,245
250,736,316
251,738,12
252,738,13
253,738,150
254,738,188
255,738,222
256,738,245
257,738,316
258,739,12
259,739,13
260,739,150
261,739,188
262,739,222
263,739,245
264,739,316
265,740,12
266,740,13
267,740,150
268,740,188
269,740,222
270,740,245
271,740,316
272,741,12
273,741,13
274,741,150
275,741,188
276,741,222
277,741,245
278,741,316
279,742,189
280,743,189
281,744,189
282,745,189
283,746,189
284,747,189
285,753,15
286,753,318
287,755,51
288,755,67
289,755,91
290,755,120
291,755,266
292,759,23
293,759,33
294,759,43
295,759,78
296,759,149
297,759,215
298,759,275
299,759,327
300,760,23
301,760,33
302,760,43
303,760,78
304,760,149
305,760,215
306,760,275
307,760,327
308,766,48
309,771,23
310,771,33
311,771,43
312,771,78
313,771,149
314,771,215
315,771,275
316,771,327
317,781,319
318,784,255
319,787,100
320,802,82
321,803,51
322,803,67
323,803,91
324,803,120
325,803,266
326,805,23
327,805,33
328,805,43
329,805,78
330,805,149
331,805,215
332,805,275
333,805,327
334,808,105
335,808,302
336,811,51
337,811,67
338,811,91
339,811,120
340,811,266
341,816,35
342,816,89
343,816,90
344,816,200
345,816,201
346,816,202
347,816,258
348,816,304
349,816,323
350,817,116
351,817,136
352,817,148
353,817,177
354,817,295
355,817,298
356,817,310
357,820,260
358,821,260
359,822,260
360,823,260
361,824,260
362,825,260
363,826,260
364,827,260
365,828,261
366,829,255
367,835,23
368,835,33
369,835,43
370,835,78
371,835,149
372,835,215
373,835,275
374,835,327
375,843,100
376,846,23
377,846,33
378,846,43
379,846,78
380,846,149
381,846,215
382,846,275
383,846,327
384,865,23
385,865,33
386,865,43
387,865,78
388,865,149
389,865,215
390,865,275
391,865,327
392,875,104
393,875,108
394,876,276
395,878,113
396,878,145
397,878,181
398,879,51
399,879,67
400,879,91
401,879,120
402,879,266
403,885,183
404,886,8
405,886,220
406,886,248
407,888,23
408,888,33
409,888,43
410,888,78
411,888,149
412,888,215
413,888,275
414,888,327
415,892,114
416,898,51
417,898,67
418,898,91
419,898,120
420,898,266
421,901,113
422,901,145
423,901,181
424,905,23
425,905,33
426,905,43
427,905,78
428,905,149
429,905,215
430,905,275
431,905,327
432,908,67
433,908,242
434,921,12
435,921,13
436,921,150
437,921,188
438,921,222
439,921,245
440,921,316
441,924,51
442,924,67
443,924,91
444,924,120
445,924,266
446,926,116
447,926,136
448,926,148
449,926,177
450,926,295
451,926,298
452,926,310
453,932,51
454,932,67
455,932,91
456,932,120
457,932,266
458,938,161
459,954,23
460,954,33
461,954,43
462,954,78
463,954,149
464,954,215
465,954,275
466,954,327
467,962,9
468,962,22
469,962,138
470,965,83
471,965,297
472,966,12
473,966,13
474,966,150
475,966,188
476,966,222
477,966,245
478,966,316
479,967,12
480,967,13
481,967,150
482,967,188
483,967,222
484,967,245
485,967,316
486,971,291
487,972,289
488,974,139
489,976,139
490,977,289
491,979,83
492,979,297
493,982,83
494,982,297
495,991,7
496,991,146
497,995,12
498,995,13
499,995,150
500,995,188
501,995,222
502,995,245
503,995,316
504,996,12
505,996,13
506,996,150
507,996,188
508,996,222
509,996,245
510,996,316
511,998,79
512,998,153
513,1001,242
514,1005,289
515,1012,290
516,1018,108
517,1025,260
518,1026,260
519,1045,73
520,1045,237
521,1046,48
522,1049,23
523,1049,33
524,1049,43
525,1049,78
526,1049,149
527,1049,215
528,1049,275
529,1049,327
530,1050,23
531,1050,33
532,1050,43
533,1050,78
534,1050,149
535,1050,215
536,1050,275
537,1050,327
538,1051,23
539,1051,33
540,1051,43
541,1051,78
542,1051,149
543,1051,215
544,1051,275
545,1051,327
546,1053,51
547,1053,67
548,1053,91
549,1053,120
550,1053,266
551,1066,209
552,1066,254
