_id,ltable_id,rtable_id
0,534,1
1,534,12
2,534,31
3,534,33
4,534,40
5,534,42
6,534,43
7,534,48
8,534,80
9,534,107
10,534,166
11,534,175
12,534,192
13,534,209
14,534,215
15,534,219
16,535,1
17,535,12
18,535,31
19,535,33
20,535,40
21,535,42
22,535,43
23,535,48
24,535,80
25,535,107
26,535,166
27,535,175
28,535,192
29,535,209
30,535,215
31,536,7
32,536,10
33,536,25
34,536,44
35,536,51
36,536,137
37,536,188
38,536,199
39,536,221
40,536,223
41,536,225
42,536,227
43,536,235
44,536,239
45,536,294
46,536,318
47,536,321
48,536,328
49,537,214
50,537,222
51,538,1
52,538,12
53,538,31
54,538,33
55,538,40
56,538,42
57,538,43
58,538,48
59,538,80
60,538,107
61,538,166
62,538,175
63,538,192
64,538,209
65,538,215
66,538,223
67,539,214
68,539,224
69,540,7
70,540,10
71,540,25
72,540,44
73,540,51
74,540,137
75,540,188
76,540,199
77,540,221
78,540,223
79,540,225
80,540,227
81,540,235
82,540,239
83,540,294
84,540,318
85,540,321
86,540,328
87,541,1
88,541,12
89,541,31
90,541,33
91,541,40
92,541,42
93,541,43
94,541,48
95,541,80
96,541,107
97,541,166
98,541,175
99,541,192
100,541,209
101,541,215
102,542,7
103,542,10
104,542,25
105,542,44
106,542,51
107,542,137
108,542,188
109,542,199
110,542,221
111,542,223
112,542,225
113,542,227
114,542,235
115,542,239
116,542,294
117,542,318
118,542,321
119,542,328
120,543,1
121,543,12
122,543,31
123,543,33
124,543,40
125,543,42
126,543,43
127,543,48
128,543,80
129,543,107
130,543,166
131,543,175
132,543,192
133,543,209
134,543,215
135,544,93
136,544,129
137,544,262
138,545,214
139,545,230
140,546,214
141,547,11
142,547,17
143,547,74
144,547,82
145,547,127
146,547,135
147,547,136
148,547,139
149,547,141
150,547,157
151,547,203
152,547,232
153,547,240
154,547,247
155,547,252
156,547,276
157,547,293
158,547,304
159,547,312
160,547,330
161,548,93
162,548,129
163,548,233
164,548,262
165,549,1
166,549,12
167,549,31
168,549,33
169,549,40
170,549,42
171,549,43
172,549,48
173,549,80
174,549,107
175,549,166
176,549,175
177,549,192
178,549,209
179,549,215
180,550,7
181,550,10
182,550,25
183,550,44
184,550,51
185,550,137
186,550,188
187,550,199
188,550,221
189,550,223
190,550,225
191,550,227
192,550,235
193,550,239
194,550,294
195,550,318
196,550,321
197,550,328
198,551,1
199,551,12
200,551,31
201,551,33
202,551,40
203,551,42
204,551,43
205,551,48
206,551,80
207,551,107
208,551,166
209,551,175
210,551,192
211,551,209
212,551,215
213,551,236
214,552,214
215,552,237
216,553,11
217,553,17
218,553,74
219,553,82
220,553,127
221,553,135
222,553,136
223,553,139
224,553,141
225,553,157
226,553,203
227,553,232
228,553,238
229,553,240
230,553,247
231,553,252
232,553,276
233,553,293
234,553,304
235,553,312
236,553,330
237,554,7
238,554,10
239,554,25
240,554,44
241,554,51
242,554,137
243,554,188
244,554,199
245,554,221
246,554,223
247,554,225
248,554,227
249,554,235
250,554,239
251,554,294
252,554,318
253,554,321
254,554,328
255,555,11
256,555,17
257,555,74
258,555,82
259,555,127
260,555,135
261,555,136
262,555,139
263,555,141
264,555,157
265,555,203
266,555,232
267,555,240
268,555,247
269,555,252
270,555,276
271,555,293
272,555,304
273,555,312
274,555,330
275,556,93
276,556,129
277,556,262
278,557,1
279,557,12
280,557,31
281,557,33
282,557,40
283,557,42
284,557,43
285,557,48
286,557,80
287,557,107
288,557,166
289,557,175
290,557,192
291,557,209
292,557,215
293,557,242
294,558,6
295,558,99
296,558,124
297,558,128
298,558,131
299,558,142
300,558,189
301,558,243
302,558,301
303,558,306
304,559,1
305,559,12
306,559,31
307,559,33
308,559,40
309,559,42
310,559,43
311,559,48
312,559,80
313,559,107
314,559,166
315,559,175
316,559,192
317,559,209
318,559,215
319,559,244
320,560,245
321,561,6
322,561,99
323,561,124
324,561,128
325,561,131
326,561,142
327,561,189
328,561,246
329,561,301
330,561,306
331,562,11
332,562,17
333,562,74
334,562,82
335,562,127
336,562,135
337,562,136
338,562,139
339,562,141
340,562,157
341,562,203
342,562,232
343,562,240
344,562,247
345,562,252
346,562,276
347,562,293
348,562,304
349,562,312
350,562,330
351,563,248
352,564,1
353,564,12
354,564,31
355,564,33
356,564,40
357,564,42
358,564,43
359,564,48
360,564,80
361,564,107
362,564,166
363,564,175
364,564,192
365,564,209
366,564,215
367,564,249
368,565,214
369,565,250
370,566,93
371,566,129
372,566,251
373,566,262
374,567,11
375,567,17
376,567,74
377,567,82
378,567,127
379,567,135
380,567,136
381,567,139
382,567,141
383,567,157
384,567,203
385,567,232
386,567,240
387,567,247
388,567,252
389,567,276
390,567,293
391,567,304
392,567,312
393,567,330
394,568,1
395,568,12
396,568,31
397,568,33
398,568,40
399,568,42
400,568,43
401,568,48
402,568,80
403,568,107
404,568,166
405,568,175
406,568,192
407,568,209
408,568,215
409,569,1
410,569,12
411,569,31
412,569,33
413,569,40
414,569,42
415,569,43
416,569,48
417,569,80
418,569,107
419,569,166
420,569,175
421,569,192
422,569,209
423,569,215
424,569,254
425,570,1
426,570,12
427,570,31
428,570,33
429,570,40
430,570,42
431,570,43
432,570,48
433,570,80
434,570,107
435,570,166
436,570,175
437,570,192
438,570,209
439,570,215
440,570,255
441,571,256
442,572,1
443,572,12
444,572,31
445,572,33
446,572,40
447,572,42
448,572,43
449,572,48
450,572,80
451,572,107
452,572,166
453,572,175
454,572,192
455,572,209
456,572,215
457,572,257
458,573,214
459,573,258
460,574,214
461,574,259
462,575,214
463,575,260
464,576,214
465,576,261
466,577,1
467,577,12
468,577,31
469,577,33
470,577,40
471,577,42
472,577,43
473,577,48
474,577,80
475,577,107
476,577,166
477,577,175
478,577,192
479,577,209
480,577,215
481,578,214
482,578,263
483,579,32
484,579,49
485,579,67
486,579,75
487,579,100
488,579,125
489,579,126
490,579,212
491,579,233
492,579,260
493,579,264
494,579,269
495,579,273
496,580,1
497,580,12
498,580,31
499,580,33
500,580,40
501,580,42
502,580,43
503,580,48
504,580,80
505,580,107
506,580,166
507,580,175
508,580,192
509,580,209
510,580,215
511,580,265
512,581,1
513,581,12
514,581,31
515,581,33
516,581,40
517,581,42
518,581,43
519,581,48
520,581,80
521,581,107
522,581,166
523,581,175
524,581,192
525,581,209
526,581,215
527,581,266
528,582,3
529,582,36
530,582,54
531,582,71
532,582,122
533,582,174
534,582,190
535,582,200
536,582,202
537,582,208
538,582,218
539,582,267
540,583,214
541,583,268
542,584,32
543,584,49
544,584,67
545,584,75
546,584,100
547,584,125
548,584,126
549,584,212
550,584,233
551,584,260
552,584,264
553,584,269
554,584,273
555,585,1
556,585,12
557,585,31
558,585,33
559,585,40
560,585,42
561,585,43
562,585,48
563,585,80
564,585,107
565,585,166
566,585,175
567,585,192
568,585,209
569,585,215
570,586,214
571,586,271
572,587,178
573,587,201
574,587,272
575,587,324
576,588,32
577,588,49
578,588,67
579,588,75
580,588,100
581,588,125
582,588,126
583,588,212
584,588,233
585,588,260
586,588,264
587,588,269
588,588,273
589,589,274
590,590,1
591,590,12
592,590,31
593,590,33
594,590,40
595,590,42
596,590,43
597,590,48
598,590,80
599,590,107
600,590,166
601,590,175
602,590,192
603,590,209
604,590,215
605,590,275
606,591,11
607,591,17
608,591,74
609,591,82
610,591,127
611,591,135
612,591,136
613,591,139
614,591,141
615,591,157
616,591,203
617,591,232
618,591,240
619,591,247
620,591,252
621,591,276
622,591,293
623,591,304
624,591,312
625,591,330
626,592,277
627,593,93
628,593,129
629,593,262
630,593,278
631,594,93
632,594,129
633,594,262
634,594,279
635,595,1
636,595,12
637,595,31
638,595,33
639,595,40
640,595,42
641,595,43
642,595,48
643,595,80
644,595,107
645,595,166
646,595,175
647,595,192
648,595,209
649,595,215
650,595,280
651,596,1
652,596,12
653,596,31
654,596,33
655,596,40
656,596,42
657,596,43
658,596,48
659,596,80
660,596,107
661,596,166
662,596,175
663,596,192
664,596,209
665,596,215
666,596,281
667,597,1
668,597,12
669,597,31
670,597,33
671,597,40
672,597,42
673,597,43
674,597,48
675,597,80
676,597,107
677,597,166
678,597,175
679,597,192
680,597,209
681,597,215
682,597,282
683,598,178
684,598,201
685,598,272
686,598,283
687,598,324
688,599,1
689,599,12
690,599,31
691,599,33
692,599,40
693,599,42
694,599,43
695,599,48
696,599,80
697,599,107
698,599,166
699,599,175
700,599,192
701,599,209
702,599,215
703,599,284
704,600,1
705,600,12
706,600,31
707,600,33
708,600,40
709,600,42
710,600,43
711,600,48
712,600,80
713,600,107
714,600,166
715,600,175
716,600,192
717,600,209
718,600,215
719,601,93
720,601,129
721,601,262
722,601,286
723,602,173
724,602,266
725,602,287
726,602,300
727,603,6
728,603,99
729,603,124
730,603,128
731,603,131
732,603,142
733,603,189
734,603,301
735,603,306
736,604,6
737,604,99
738,604,124
739,604,128
740,604,131
741,604,142
742,604,189
743,604,289
744,604,301
745,604,306
746,605,32
747,605,49
748,605,67
749,605,75
750,605,100
751,605,125
752,605,126
753,605,212
754,605,233
755,605,260
756,605,264
757,605,269
758,605,273
759,605,290
760,607,32
761,607,49
762,607,67
763,607,75
764,607,100
765,607,125
766,607,126
767,607,212
768,607,233
769,607,260
770,607,264
771,607,269
772,607,273
773,608,11
774,608,17
775,608,74
776,608,82
777,608,127
778,608,135
779,608,136
780,608,139
781,608,141
782,608,157
783,608,203
784,608,232
785,608,240
786,608,247
787,608,252
788,608,276
789,608,293
790,608,304
791,608,312
792,608,330
793,609,294
794,610,1
795,610,12
796,610,31
797,610,33
798,610,40
799,610,42
800,610,43
801,610,48
802,610,80
803,610,107
804,610,166
805,610,175
806,610,192
807,610,209
808,610,215
809,611,214
810,611,296
811,612,1
812,612,12
813,612,31
814,612,33
815,612,40
816,612,42
817,612,43
818,612,48
819,612,80
820,612,107
821,612,166
822,612,175
823,612,192
824,612,209
825,612,215
