_id,ltable_id,rtable_id
0,534,219
1,537,222
2,538,223
3,539,224
4,540,225
5,542,227
6,548,233
7,550,235
8,553,238
9,555,240
10,557,242
11,558,243
12,559,244
13,560,245
14,561,246
15,564,249
16,565,250
17,566,251
18,567,252
19,569,254
20,571,256
21,572,257
22,573,258
23,575,260
24,578,263
25,579,264
26,580,265
27,582,267
28,584,269
29,586,271
30,587,272
31,589,274
32,591,276
33,593,278
34,599,284
35,601,286
36,604,289
37,605,290
38,609,294
39,612,297
40,614,299
41,618,303
42,619,304
43,620,305
44,621,306
45,622,307
46,626,311
47,627,312
48,628,313
49,629,314
50,630,315
51,631,316
52,632,317
53,634,319
54,635,320
55,636,321
56,637,322
57,638,323
58,640,325
59,642,327
60,643,328
61,645,330
