id,brand,category,title,price,modelno
1,koss,headphone accessories,koss eq50 3-band stereo equalizer,12.65,152132
2,kodak,inkjet printer ink,kodak black ink cartridge 10b 1163641,10.28,1163641
3,kingston,computers accessories,kingston 128mx64 pc2700 compaq evo d320 ktc-d320 1g,33.75,ktc-d320/1g
4,kinamax,mice,kinamax ms-ues2 mini high precision usb 3-button 3d optical scroll wheel mouse with retractable cable black,6.99,ms-ues2
5,kensington,mice,kensington k72349us wireless mouse for netbooks,24.00,k72349us
6,kensington,cases sleeves,kensington blackbelt protection band for ipad 2 k39324us,23.92,k39324us
7,just5,unlocked phones,just5 j509 easy to use unlocked cell phone with big buttons amplified sound personal emergency response system black,64.11,j509black
8,imation,cd-r discs,imation corp 50pk cdr 700mb 80min 52x-spindle 17301,10.29,17301
9,imation,dvd-r discs,16x dvd-r media,6.99,17340
10,igo,cleaning repair,igo arctic laptop cooling pad ac05065-0001,29.99,ac05065-0001
11,hp,laptop netbook computer accessories,hp touchpad custom fit case,25.04,fb343aa#ac3
12,hp,laser printers,hp laserjet pro p1606dn printer ce749a bgj,142.99,ce749a#bgj
13,hp,laser printer toner,hp 85a laserjet black toner print cartridge - retail packaging ce285a,,ce285a
14,hp,printers,hp - envelope feeder - 75 sheets,267.24,cb524a
15,hawking technology,wireless access points,hawking hi-gain outdoor wireless-300n dual radio smart repeater,270.99,how2r1
16,griffin technology,chargers adapters,griffin technology powerjolt se 2 amp power charger for ipad iphone and ipod black,14.26,gc23090
17,goldtouch,access-control keypads,goldtouch usb numeric keypad hub - keypad - usb - 22 keys - white,37.92,gtc-0033
18,garmin,handheld gps,garmin oregon 450t handheld gps navigator,399.86,010-00697-41
19,fujitsu,scanners,fujitsu scansnap s1500m instant pdf sheet-fed scanner for the macintosh,418.99,pa03586-b105
20,accessory genie,touch screen tablet accessories,slim folding multi-position tablet stand for galaxy tab motorola xoom asus eee pad transformer and many other tablets includes micro usb cable,14.99,
21,energizer,d,energizer max alkaline batteries,14.43,e95fp-8
22,emerge tech,mp3 player accessories,emerge tech retractable usb cable for ipod white,4.99,etipodusb
23,xo vision,mp3 player accessories,ematic 10 in 1 premium accessory kit for ipod touch 3rd gen newest model,19.99,ei026gp
24,edge,computer components,edge sd gaming cards - flash memory card - 1 gb - 130x - sd,9.00,sd gaming cards
25,edge,audio video accessories,edge - memory - 16 gb 2 x 8 gb - dimm 240-pin - ddr2 - 667 mhz pc2-5300 - registered - ecc,594.83,x5290a-z-pe
26,edge,memory,edge - memory - 4 gb - dimm 240-pin - ddr2 - 667 mhz pc2-5300 - registered - ecc,119.24,d1240-211646-pe
27,expo,printer accessories,dry erase board cleaning wet wipes 6 x 9 50,,
28,d-link,networking products,d-link dkvm-cb 6 ft kvm cable male to male connectors,14.82,dkvm-cb
29,zeikos,digital camera accessories,zeikos ze-cbg7d battery power grip for canon 7d camera,66.44,ze-cbg7d
30,hauppauge,computers accessories,wintv-hvr-1850 pcie for vista white box pcie atsc hd,91.24,1129
31,western digital,external hard drives,western digital my book essential 1 tb usb 3.0 2.0 desktop external hard drive,79.99,wdbacw0010hbk-nesn
32,verbatim,,verbatim 25pk cd-rw 74min 650mb 16x-24x 94583,17.88,94583
33,verbatim,blank media,verbatim 95145 4.7 gb up to16x white inkjet printable recordable disc dvd r 100 disc spindle,34.98,95145
34,trendnet,computer cable adapters,trendnet usb to 10 100mbps adapter tu2-et100,17.84,tu2-et100
35,tp-link,networking products,tp-link nt tl-ant2412d 2.4g 12dbi,39.75,tl-ant2412d
36,teknmotion,plug play satellite radios,teknmotion tm-rcd48ws1 48-disc wallet round black white star,13.00,
37,targus,computers accessories,targus amu59us kaleidoscope optical mouse,9.99,amu59us
38,motorola,microphones accessories,talkabout mc220r two way radio,34.74,
39,syba,usb network adapters,syba sd-u1irda-nm usb fast infra-red adapter,11.70,sd-u1irda-nm
40,sunpak,complete tripod units,sunpak flexpod digital slr tripod gray,12.95,620-flexprogr
41,startech,network cards,startech.com compact black usb 2.0 to gigabit ethernet nic network adapter usb21000s,35.23,usb21000s
42,solo,bags cases,solo sterling collection ipad or e-reader or netbook sleeve holds tablet device up to 10.2 inch netbook black cla110-4,14.99,cla110-4
43,sirius satellite radio,,sirius connect sch1 home tuner,53.99,sch1
44,sima,usb cables,sima usb multi cable sup-100,25.91,sup-100
45,siig,,parallel printer port,18.99,ju-000051-s1
46,siig,internal sound cards,siig ic-510111-s1 dp soundwave 5.1 channels sound board - tremor 16xx series audio codec processor - pci express - 20 bit - internal,39.82,ic-510111-s1
47,sheaffer,laminating supplies,sheaffer 93129 - gift collection 300 series ballpoint pen and pencil set black barrel,,
48,scosche,dash mounting kits,scosche loc80 2-channel adjustable lineout converter,,loc80
49,audiovox,mp3 players,rca th1702 2gb thumbdrive style mp3 player,,th1702
50,quality park,media storage organization,quality park cd dvd envelopes white pack of 100 62903,10.89,62903
51,pny,computers accessories,pny verto geforce 8500gt 512mb video card,,vcg85512gxpb
52,pioneer,accessories supplies,pioneer deh-p5200hd cd receiver with hd radio and ipod direct control,134.95,deh-p5200hd
53,philips,,philips sdv2210 27 hdtv uhf vhf fm indoor tv antenna,13.00,sdv2210/27
54,peerless,computer monitor mounts,peerless st630 tilt wall mount for 10 to 24 displays black,22.99,st630
55,peerless,,peerless pm47 vcr bracket black,15.68,pm47
56,pacon,,pacon 54611 - six-ply poster board 28 x 22 white 25 carton,,
57,optoma,lamps,optoma bl-fu220b - projector lamp,,bl-fu220b
58,nuance,computers accessories,nuance pdf converter professional v6,55.99,
59,nikon,point shoot digital cameras,nikon coolpix s1100pj 14 mp digital camera with 5x wide angle optical vibration reduction vr zoom and 3-inch lcd and built-in projector violet,,s1100pj violet
60,nikon,camera lenses,nikon 35mm f 1.4g af-s fx swm nikkor lens for nikon digital slr cameras,,af-s 35mm
61,nextware,cases,nextware jellybean case for ipod touch 4g blue,18.54,jellybee-bl
62,lg,tvs,lg 50pj350 50-inch 720p plasma hdtv,,50pj350
63,lapgear,cables interconnects,lapgear 46017 chill case 17,,
64,kodak,camcorders,kodak mini video camera with sd card red,62.50,8398513
65,inland,cases sleeves,inland proht eva 7-inch tablet case 02252,10.88,02252
66,hp,chargers adapters,hp ed495aa 90 watt smart ac adapter,18.99,ed495aa#aba
67,garmin,portable vehicle gps,garmin dezl 560lmt 5-inch widescreen bluetooth portable trucking gps navigator with lifetime map traffic updates,440.00,010-00897-01
68,garmin,portable vehicle gps,garmin n vi 1350 series 4.3-inch widescreen portable gps navigator,132.57,010-00782-20
69,dymo,labeling tapes,dymo d1 tape cartridge for electronic label makers 1 2w blue on clear,19.21,
70,quantaray,,digital camera neck and wrist strap combo,8.99,22-204-5338
71,avant products,covers skins,crystal clear - htc mytouch 4g tpu protector t-mobile,,
72,canon,photo paper,canon photo paper plus semi-gloss 13 x 19 inches 20 sheets 1686b031,24.49,1686b031
73,brother,inkjet printer ink,brother lc01c - print cartridge - 1 x cyan - 300 pages,9.99,01c
74,boss,coaxial speakers,boss audio sk422 phantom speaker,20.00,sk422
75,avery,laminating supplies,avery self-adhesive laminating sheets 9 x 12 inches box of 50 73601,16.80,73601
76,acer,laptops,acer as5750-9851 15.6-inch laptop mesh black,699.00,as5750-9851
77,wintec,computer accessories,wintec filemate 4gb swivel usb 2.0 flash drive,9.99,
78,royal,laminators,royal laminator pl2100,30.99,pl2100 laminator
79,boorum   pease,printer accessories,record account book black red cover 144 pages,,
