_id,ltable_id,rtable_id
0,1,154
1,5,191
2,6,213
3,12,58
4,18,211
5,26,201
6,32,34
7,32,35
8,32,50
9,47,63
10,47,79
11,48,63
12,48,79
13,49,102
14,54,64
15,57,106
16,62,59
17,64,72
18,65,74
19,78,80
20,80,75
21,93,97
22,94,98
23,96,88
24,100,26
25,104,113
26,108,122
27,108,243
28,108,502
29,114,124
30,116,25
31,123,372
32,130,203
33,134,9
34,135,145
35,144,278
36,154,240
37,169,248
38,172,260
39,182,163
40,185,318
41,193,263
42,194,81
43,195,283
44,198,89
45,199,236
46,205,282
47,214,3
48,215,373
49,217,286
50,218,12
51,219,285
52,225,445
53,227,125
54,234,495
55,242,284
56,249,877
57,258,206
58,259,220
59,260,265
60,264,116
61,265,364
62,268,347
63,282,114
64,284,121
65,289,345
66,292,88
67,297,424
68,298,424
69,299,424
70,318,712
71,319,476
72,321,479
73,322,156
74,328,638
75,342,418
76,344,110
77,348,408
78,351,205
79,353,433
80,362,620
81,363,409
82,367,466
83,368,467
84,370,475
85,371,289
86,373,181
87,381,465
88,383,1027
89,389,613
90,393,434
91,397,288
92,400,638
93,401,242
94,402,400
95,402,682
96,403,104
97,405,552
98,406,486
99,406,487
100,407,24
101,408,462
102,419,324
103,420,167
104,443,581
105,444,630
106,446,907
107,450,506
108,450,978
109,450,979
110,453,505
111,453,978
112,453,979
113,458,508
114,458,978
115,458,979
116,468,604
117,476,630
118,476,844
119,476,926
120,477,630
121,477,844
122,477,926
123,479,574
124,479,629
125,479,732
126,479,880
127,480,792
128,480,793
129,481,791
130,482,630
131,482,844
132,482,926
133,483,792
134,483,793
135,485,551
136,491,736
137,495,574
138,495,629
139,495,732
140,495,880
141,497,881
142,517,405
143,518,404
144,522,537
145,528,709
146,533,515
147,533,516
148,533,626
149,534,515
150,534,516
151,534,626
152,536,1048
153,554,243
154,554,502
155,558,342
156,561,760
157,561,761
158,561,863
159,561,949
160,574,582
161,590,692
162,594,515
163,594,516
164,594,626
165,599,545
166,600,440
167,616,486
168,616,487
169,623,586
170,625,760
171,625,761
172,625,863
173,625,949
174,630,568
175,639,381
176,655,504
177,657,638
178,658,670
179,659,672
180,660,671
181,661,669
182,662,621
183,664,638
184,667,366
185,672,909
186,685,732
187,693,772
188,698,772
189,704,772
190,708,886
191,719,812
192,720,812
193,733,887
194,742,772
195,749,638
196,760,469
197,763,830
198,764,638
199,765,1047
200,766,167
201,766,539
202,779,655
203,780,480
204,785,435
205,793,130
206,796,127
207,797,259
208,799,162
209,801,66
210,813,1070
211,827,5
212,834,172
213,862,476
214,863,503
215,864,430
216,867,1001
217,872,608
218,885,587
219,890,540
220,900,574
221,900,629
222,900,732
223,900,880
224,903,961
225,908,922
226,909,973
227,910,972
228,924,959
229,927,974
230,954,309
231,959,927
232,964,934
233,965,160
234,968,359
235,969,1044
236,970,400
237,970,682
238,972,678
239,973,367
240,975,976
241,976,975
242,977,402
243,983,941
244,988,1022
245,989,1071
246,993,105
247,996,1039
248,996,1040
249,1002,249
250,1004,496
251,1007,424
252,1009,583
253,1020,813
254,1021,115
255,1022,489
256,1023,484
257,1031,450
258,1032,497
259,1034,463
260,1045,526
261,1046,962
262,1048,735
263,1057,1014
264,1058,997
265,1059,287
266,1059,447
267,1060,736
268,1069,288
269,1069,518
270,1078,382
271,1080,17
